airline_sentiment,text,geographic_location,ethnicity,age,device
neutral,@JetBlue should I expect delays at dca for 7am departure?  Going to Orlando on flight 723,"Garland, TX",Hispanic,36,tablet
negative,@SouthwestAir bag in possession but no clothes in bag??,"Greensboro, NC",Caucasian,55,tablet
negative,"@AmericanAir i was just severely upset by the rude cs rep. I get she's prob stressed, but I am too! An ""aw, let me help"" cld mk it btr","Milwaukee, WI",African American,49,mobile
negative,"@AmericanAir Changed flight from BNA to 2/20 ahead of weather. Slammed me with cost diff because ""no weather advisory.""Really!","Memphis, TN",Hispanic,20,tablet
negative,"@USAirways  Instead of fair treatment, I got a nasty letter from a lady in senior management that illness forfeits miles like death.","Long Beach, CA",Hispanic,49,laptop
neutral,@JetBlue @SouthwestAir @VirginAmerica @AmericanAirBR download jeokoo the American app for air travelers,"Saint Paul, MN",African American,37,mobile
positive,@JetBlue Thx for the quick response .... yep I tried- but it can't find the flight when I Input the Confirmation #,"Hialeah, FL",Asian,55,tablet
negative,@AmericanAir and it's not a inconvenience it is a disaster. It's A $500 phone bill from you that you refuse to pay,"Stockton, CA",Caucasian,50,laptop
negative,@USAirways @AmericanAir flight 849's four subsequent delays destroyed my travel plans this evening. Looking to resolve this matter.,"El Paso, TX",African American,22,mobile
negative,@USAirways She was put on hold on that number for a loooooong time too.  No help. #lostandforgotten,"Santa Ana, CA",Asian,39,laptop
negative,@AmericanAir Hey so I'm very disappointed with my time traveling with you! I've had the worst experience and both times the flight delayed!,"Colorado Springs, CO",Hispanic,23,tablet
neutral,".@SouthwestAir Well, we all need something to aim for.","San Jose, CA",Caucasian,56,mobile
negative,@JetBlue you wanna help out? How about you reimburse the money you cause my band to lose.,"Atlanta, GA",African American,15,tablet
negative,"@AmericanAir @united getting us to where we need to be. This is not acceptable. Not to mention, Cancelled Flighting meetings/interviews for my client","Reno, NV",Caucasian,49,laptop
positive,"@SouthwestAir Beautiful, thanks a ton!","Raleigh, NC",African American,64,tablet
neutral,@USAirways please please please let my plane back to the gate so I can get off as I will miss connection due to CLT closing. 2034,"Columbus, OH",African American,15,laptop
positive,@SouthwestAir thank you for great customer service. Trying to make it to San Antonio and your staff and alerts have been helpful. Boo ice!,"Laredo, TX",Hispanic,33,laptop
negative,"@united its been five days, I'm just asking you to clarify your policy on car seats. I don't want to have to take this higher up.","Lubbock, TX",Hispanic,43,laptop
neutral,Oh wow. #sm “@JetBlue: Our fleet's on fleek. http://t.co/l0i8fnz3KU”,"Memphis, TN",African American,55,laptop
negative,@united that's cool - now what?,"Sacramento, CA",Hispanic,18,mobile
neutral,@united the child is two years old,"Greensboro, NC",Asian,19,laptop
negative,"@USAirways Flight 2069 from JFK to Charlotte, then 3750 from Charlotte to Birmingham. 2 previous flights to HSV were Cancelled Flightled.","Houston, TX",African American,27,mobile
negative,"@JetBlue so I'm penalized for packing lightly, having 1 bag and paying extra for a seat?","San Francisco, CA",Hispanic,36,tablet
negative,"@united a baby shit its pants half way through my flight and it smelled like shit, what are you going to do about this?","Riverside, CA",Hispanic,64,laptop
negative,@united I am calling to check on a future flight and your first agent hung up and now you sent me to the pet travel line!! This is HELL!!,"St. Louis, MO",African American,25,laptop
neutral,@USAirways I was supposed to be on flight 1861 from Charlotte to RDU @ 8:20pm yesterday. Is the same flight scheduled for departure tonight?,"Atlanta, GA",Caucasian,49,mobile
negative,@SouthwestAir  at fort launder dale and the gate agent can't switch flights to an earlier flight but we can on our phone...ridiculous,"Hialeah, FL",Caucasian,23,mobile
negative,"@americanair Plz bring more agents up to DFW AA Cstmr srvc ctr gates A, there are only 2 agents and 100+ ppl... http://t.co/uCvEU2hurZ","Toledo, OH",Caucasian,47,tablet
negative,@USAirways Already tried. How about Conf # via DM,"Charlotte, NC",African American,15,mobile
negative,@USAirways I bougth ticket same fligths twice and you dont refund money it is big problem other company refund money why dont u pay back,"Phoenix, AZ",Hispanic,33,laptop
negative,@southwestair on flight 3130 and I paid $8 for wifi that can't load a website functionally except for your own live streaming. Unacceptable.,"Lincoln, NE",Hispanic,36,laptop
negative,@united as a freq flyer it makes me sad to see cust needing assistance treated so poorly. #ServiceFail,"Boston, MA",Caucasian,26,mobile
neutral,"@united Is there a way to get  a copy of Feb's edition of Hemisphere
magazine with out flying?","Atlanta, GA",African American,42,mobile
negative,@united very poor customer service. I WILL think again befor Flight Booking Problems another United flight.,"Chicago, IL",Asian,26,laptop
negative,@united bags are still in Houston since Friday and still have not been reimbursed the baggage fee.,"Riverside, CA",African American,65,tablet
negative,@USAirways just hung up on me again.  Another waste of an hour of my time.  How am I supposed to book a one way award flight?  #badwebsite,"Las Vegas, NV",Hispanic,49,tablet
neutral,@JetBlue I have a reservation for tomorrow morning but trying to get back 2 night bc other flight was going to jfk. Can I get on list at CTG,"New Orleans, LA",Asian,33,tablet
negative,@SouthwestAir Twitter cust svc rule 1 Dont say IF we fell short. I just told u u did! #2 If u cant solve problem don't say anything at all!,"Nashville, TN",Hispanic,49,tablet
negative,@JetBlue after 40 mins they tell us they can't check temperature for at least 2 more hours. So it's back to the gate to wait. #mosiacfail,"Minneapolis, MN",Hispanic,49,laptop
negative,@USAirways Your Baggage system has hung up on me twice because you have too many callers. I NEED TO FIND MY HUSBAND'S (@SweetingR) BAGS.,"Boston, MA",Caucasian,25,laptop
neutral,@united I have a 0530 flight out of DFW on Tuesday. How far in advance will you give notice if Cancelled Flightled?,"Charlotte, NC",Asian,50,mobile
neutral,"@USAirways when AA gate supervisor 600117 was asked for his superiors name, response received was ""the CEO of #AmericanAirlines"" #merger","New Orleans, LA",Asian,64,tablet
negative,@AmericanAir the worst first class boarding service I ever had.,"Tucson, AZ",African American,56,mobile
negative,".@AmericanAir Also, not the reservations team's fault. Bad top-down decision. I feel bad for the reservations AND social media teams.","Durham, NC",Hispanic,36,laptop
neutral,@USAirways do you post travel alerts on your website? Traveling to Bdl on Sunday morning.,"Portland, OR",Hispanic,43,tablet
positive,@JetBlue thanks to O StBernard for taking time to read through page to find info as supervisor felt to insist tho I showed previous comm,"San Antonio, TX",Hispanic,21,laptop
neutral,“@JetBlue: Our fleet's on fleek. http://t.co/HovuAIsG16” WTF 😂😂😂😂,"New York, NY",African American,27,laptop
negative,"@united I was denied use of a rear facing car seat on UA5025, an ERJ145. Can you confirm the actual policy?","Stockton, CA",African American,24,tablet
negative,@united yes when I got to the gate I specifically asked if there where any other seats.  Very discouraging to walk past the crew. 37d,"Plano, TX",African American,30,tablet
negative,@united typically once you get the problem fixed - then the crew expires - and the delay turns into a Cancelled Flight...,"Akron, OH",Hispanic,40,tablet
negative,@JetBlue your app needs updating. Says my flight is on time when we are well past boarding time with 2hr delay http://t.co/BTvpxTZJu0,"Fresno, CA",African American,44,mobile
negative,@USAirways hire smarter IT people if your systems keep crashing instead of some of the mooks you man some of these airports with. #goDelta,"Louisville, KY",African American,41,mobile
positive,"@SouthwestAir What can we do to bring you back to Jackson, MS?! We miss you terribly around here. These other airlines are horrible!!","San Antonio, TX",African American,52,mobile
neutral,"@united What does ""Cabin Functionality"" mean when I'm taking a customer satisfaction survey?","Wichita, KS",African American,56,laptop
neutral,"@JetBlue and of course that was supposed to say Logan, not login","Raleigh, NC",Asian,58,laptop
negative,"@AmericanAir jal and cathay pacific so no, I can't do it online.","Raleigh, NC",Caucasian,64,mobile
neutral,@USAirways Yes. Confirmation number and all.,"Buffalo, NY",Caucasian,26,tablet
negative,"@AmericanAir I am looking for help on USAirways award travel booked for wife and two boys, no seats assigned.","Lincoln, NE",Hispanic,65,laptop
negative,"@SouthwestAir, real sincere apology! Makes my day! Glad to know flying mail is more important than me. Never flying SW again! #badservice","Fort Worth, TX",Caucasian,49,mobile
positive,"@JetBlue flight attendant Wendi on Flt 127 on 2/17, Newark to Orlando.  👍👍","Fort Worth, TX",African American,26,mobile
negative,@USAirways if ur going 2 charge $20 for wi-fi make sure it works. #Brutal #DialUp b a 100 by the time things load. #TheEnd #GoodDay,"Chandler, AZ",Hispanic,36,mobile
neutral,@united workin on it. Waiting on him to reply.,"Fort Wayne, IN",African American,58,mobile
positive,@SouthwestAir - Great flight from Phoenix to Dallas tonight!Great service and ON TIME! Makes @timieyancey very happy! http://t.co/TkVCMhbPim,"Plano, TX",Hispanic,39,mobile
positive,@USAirways the plane crew has been as professional and courteous as the gate agents were flustered.,"Greensboro, NC",Caucasian,27,mobile
negative,@SouthwestAir I'm going to need you to answer your phones. Being on hold for an hour isn't okay.,"Chicago, IL",Hispanic,64,laptop
positive,@SouthwestAir about time! Thank you!,"Reno, NV",African American,39,mobile
neutral,@united followed &amp; DM'd.,"Reno, NV",Caucasian,65,tablet
negative,@SouthwestAir you are the worst airline. Congrats!!,"Lincoln, NE",Caucasian,34,mobile
negative,"@USAirways will do.  maybe the pre-purchase meal email is because the flight is 9 min short of 3 hours, so I guess there are none offered","Detroit, MI",African American,44,mobile
negative,@usairways Seriously. This is ridiculous. I shouldn't have to wait a hour for my luggage after I land. #wtf,"Buffalo, NY",African American,44,laptop
positive,@united thanks,"Fort Worth, TX",Hispanic,34,laptop
negative,"@united its my one and only checked bag, which is checked to edinburgh, however i am being charged randomly from dc to newark","Fort Wayne, IN",Hispanic,55,mobile
positive,"@united Had wonderful, on time flights from OGG to MSN Lost RX eyeglasses (thick) in the Admiral Club in Chicago this morning. Found?","Durham, NC",African American,44,laptop
neutral,"@united After all I have been through on this trip, can you get me on another airline home?","Corpus Christi, TX",African American,65,mobile
negative,@USAirways phone support rebooked but orig flt was Late Flight. Made it!,"Rochester, NY",African American,49,laptop
negative,@AmericanAir flight 3056 still sitting at DFW waiting for baggage to be loaded,"Nashville, TN",Hispanic,49,mobile
positive,@AmericanAir Thank you!!!! I will be there to pick her up on time.,"Toledo, OH",Hispanic,61,mobile
negative,"@JetBlue NOT A HAPPY CUSTOMER. We've waited patiently, not to mention $150 and six months of marathon training, we need 2 be there tmrw.","Portland, OR",African American,24,laptop
neutral,"@AmericanAir Hey, so... I think I left my wallet on you. Can I have it back, please?","Mesa, AZ",African American,24,mobile
neutral,@USAirways Do you have Bereavement discount on airfare as my grandfather just passed and need to attend his funeral this week.,"Akron, OH",Native American,36,mobile
positive,@united So excited I was put on an earlier flight to get home! Woo Hoo! #travel 🎉🎉🎉,"Memphis, TN",Caucasian,28,tablet
negative,"@united MR, she's on her way now, but thought id detail the extravaganza for you... #dobetter #please http://t.co/V8PVpHMtZc","Lubbock, TX",African American,27,laptop
negative,@USAirways I've done everything. Still no luck in finding my bag. I don't understand how my bag could have been misplaced. Very upsetting.,"Orlando, FL",African American,20,laptop
neutral,@JetBlue thanks! I only loose 'em at airports...1st time we found it. I think @fitbit needs to make flexes that stay on when carrying bags!,"Raleigh, NC",Native American,43,tablet
negative,"@VirginAmerica Trying to reset my password, email never arrives. Help?","Chula Vista, CA",African American,54,tablet
neutral,"@united thanks! It's 35K miles from RTB to Europe, to do a multiple destination so we could stop over in US on way/way back- mileage diff?","Kansas City, MO",Hispanic,52,tablet
negative,@USAirways you guys straight up suck ass,"Long Beach, CA",African American,36,laptop
negative,@USAirways they had to turn the seat cushions over and clean the area. Please explain this issue?,"Aurora, CO",African American,60,laptop
neutral,"@JetBlue I'd go back to Haiti to deliver shoes, books&amp;medicine to kids I met in orphanage last year. #flyingitforward http://t.co/pGoeUXnsPI","Detroit, MI",Asian,64,mobile
negative,@SouthwestAir Not your finest moment in Boston right now!,"Nashville, TN",Asian,64,laptop
negative,"@united I'm glad you didn't mean to, but it doesn't excuse your inefficiency! Only took 70min for the bags, we were your only arrival flight","Newark, NJ",Hispanic,22,mobile
negative,@USAirways and despite the fact I see you answering all these people on twitter with mundane qs you refuse to answer me!,"Las Vegas, NV",African American,60,mobile
negative,@USAirways missing our connection due to delay out of @LAS. Told not looking good for tmrw either. We will be stuck in #CLT. Help!,"Charlotte, NC",Asian,28,mobile
positive,@SouthwestAir Thank you!,"Jacksonville, FL",Hispanic,49,tablet
negative,@AmericanAir makes some small improvements and retains their program they win all. They keep the crappy food and change advantage they lose,"Cincinnati, OH",African American,63,tablet
neutral,"@USAirways hi!  Could you protect me on US 445 just in case? Still on ground with no checked luggage, but still a chance I can make original","Colorado Springs, CO",Hispanic,35,laptop
negative,@USAirways There is an error w/ my preferred status &amp; I'm not able to reach an agent via phone. Travel Friday. Need resolved - contact info?,"Durham, NC",African American,27,tablet
positive,"@united captain ""on behalf of the front office, welcome on board."".... Never heard that before. I laughed...hard.  #funnycaptain","Detroit, MI",Hispanic,36,mobile
positive,"@SouthwestAir CEO Gary Kelly, ""We are America's most loved and most flown airline!"" #SouthwestRally #BWI #bestemployees #swaculture #swapic","Jacksonville, FL",Caucasian,44,mobile
neutral,"@SouthwestAir CEO Gary Kelly, ""You all are absolutely my heroes!"" #SouthwestRally #BWI #bestemployees #swaculture http://t.co/JTxyHQHfJJ","Greensboro, NC",Hispanic,54,laptop
positive,"@SouthwestAir been with my GF for 2.5yrs, she's from SF &amp; I live in Tulsa. SWA always takes me there to see my love! #SouthwestLuvSweeps","Garland, TX",Caucasian,64,tablet
negative,@AmericanAir trying to book a flight on hold- can't get through to a representative on the phone- Advice?,"St. Louis, MO",African American,52,tablet
negative,@USAirways offloading the plane?!?!?! This is ridiculous!!!!,"San Jose, CA",Hispanic,25,mobile
negative,@united GRK13575M is the file reference,"Albuquerque, NM",Native American,54,mobile
negative,@united leadership counts. landed at 11:15 last night-deplaned at 12:40. 45 minutes of that was waiting for the jetway. Inexcusable,"San Francisco, CA",Caucasian,56,tablet
negative,@united 4 passengers after a 2 hour delayed flight left with no hotel at the end of the night @ hou airport. Wtf??!! http://t.co/ZfqMpGXVS6,"Sacramento, CA",Caucasian,49,mobile
positive,@united 732 from Denver. We just boarded! Fingers crossed we get into the air!!!,"San Antonio, TX",African American,36,mobile
positive,@SouthwestAir I miss mine terribly. A +1 for my 30th anniversary would be amazing. It would mean LUV is in the air. #dontmakemebeg,"Nashville, TN",African American,26,laptop
negative,@united how long does it take to get a response from your customer service about a complaint done through email?,"Fort Worth, TX",Hispanic,64,mobile
negative,@USAirways I have never had a more unpleasant travel experience in my life. Now I might not get on my flight till tomorrow? This is insane,"Phoenix, AZ",African American,15,tablet
neutral,@SouthwestAir when will the winners of #DestinationDragons be announced?,"Laredo, TX",Hispanic,44,tablet
negative,@SouthwestAir been on hold over an hr to rebook a Cancelled Flighted flight. Do you have anyone working???,"Phoenix, AZ",Hispanic,43,tablet
negative,"@AmericanAir Where are your tickets offices in Boston? Impossible to book by phone or use vouchers on website, what a headache. PLEASE HELP!","Long Beach, CA",Hispanic,21,tablet
positive,"@JetBlue gorgeous day, hope the flight back tomorrow AM is just as pleasant! Thanks","Durham, NC",African American,47,laptop
negative,@SouthwestAir almost at the gate for 1156 to SF. Please wait 60 more seconds.,"St. Petersburg, FL",African American,33,tablet
neutral,@JetBlue thank you! Headed from LBC to OAK !,"Miami, FL",Caucasian,61,mobile
negative,"@USAirways @Sb5551 Um, WE knew this storm was coming, ? Is why didn't USeless Air?  Staff accordingly u idiots!","Aurora, CO",Asian,42,laptop
negative,"@USAirways if you mean by posted, no USAir empl to direct anyone, 800# not accepting calls, no contact from USAir re: rebook #greatjob","Sacramento, CA",African American,49,mobile
negative,"@USAirways and at this point I don't need sorry, I need a revers agt to pick up the call so maybe we can make the 11:30 flight today","Minneapolis, MN",Hispanic,49,mobile
negative,@united another fail for the United ticket agents in OKC. LESS than helpful and could care less about our problems. American here we come.,"Fort Wayne, IN",African American,49,tablet
negative,@SouthwestAir flight Cancelled Flightled. new flight 7 hours Late Flightr. will sleep in airport tonight. and cant even give me an A Boarding Group seat. thx,"Plano, TX",Caucasian,59,tablet
positive,@JetBlue thanks for update http://t.co/K7uBOTMr1r,"New Orleans, LA",Asian,34,tablet
neutral,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,"Plano, TX",Caucasian,43,mobile
negative,"@SouthwestAir I was helped by a nice lady at PHX checkin. I spent 4 hours on hold in 24 hours, so might want to look at efficiency there.","Baltimore, MD",African American,54,laptop
negative,@united I'm try to upgrade my seats to first class but the wait time on the phone is 40 minutes... can you help?,"Tulsa, OK",Hispanic,52,tablet
negative,"@JetBlue  thanks for response! Crew has been VERY patient with us, but they are also frustrated. Wouldn't be so bad but airport is closed!","Durham, NC",Caucasian,60,mobile
negative,@united - That time when I spent a night trying to sleep in a toddler bed at the airport Ramada without my luggage you kidnapped #furious,"Phoenix, AZ",African American,20,tablet
negative,"@united ruined my day &amp; start trip SFO to GIG. both legs changed, lost my paid upgrade &amp; 200 1st class seat &amp; moved me from Econ + to Econ","St. Louis, MO",Hispanic,65,mobile
positive,"@united Thanks, ^KP. Please also mention the Quiche breakfast and Tandoori chicken dinner entrees and accompaniments are truly First Class.","Boston, MA",Caucasian,48,mobile
negative,@united I was on UA3782 and it was Cancelled Flightled. I'm waiting at customer service.,"Hialeah, FL",African American,36,tablet
negative,@united I would have made it if you hadn't already booked me on another flight and Cancelled Flighted my original reservation.,"San Diego, CA",Hispanic,15,laptop
negative,@JetBlue I don't want to seem crazy! Have already asked twice!,"Detroit, MI",Native American,59,mobile
neutral,"@SouthwestAir unveils 4 new routes, including  2 from #Ohio http://t.co/4uRzvBPJKO via @usatoday","Lincoln, NE",African American,27,laptop
negative,@AmericanAir we have been advised to turn this issue over to the police due to the sexual assult THANK YOU FOR ALLOWING THAT ON YOUR PLANE!,"Plano, TX",African American,64,laptop
positive,@SouthwestAir Received awesome phone help from Jim today. Helped me switch around flights booked with points.,"Chula Vista, CA",African American,33,laptop
negative,@USAirways would be more pleased if you reassess your business practices.  Goal should be to have passengers on plane as little as possible,"Akron, OH",Caucasian,40,mobile
positive,@JetBlue thank you so much for your effort,"New Orleans, LA",Hispanic,49,laptop
negative,"@AmericanAir -- This is after you Cancelled Flightled our flight into Buffalo because of ""weather"" and lied to us and said other airlines Cancelled Flightled","Henderson, NV",Hispanic,42,laptop
negative,@united b/c of your delay now you are oversold by 14 passengers?!??? This is a mess! What are you going to do to compensate?,"Memphis, TN",African American,33,mobile
negative,@USAirways should take a lesson from @SouthwestAir and wait for passengers from connecting flights. Shame..,"Stockton, CA",Caucasian,51,tablet
neutral,"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight","Washington, D.C.",Hispanic,33,laptop
negative,@SouthwestAir how long does it take for points from RR Shopping to post to my account? Got email saying I've earned points but don't see em,"Laredo, TX",Caucasian,40,laptop
neutral,@SouthwestAir k thanks :),"Albuquerque, NM",African American,33,laptop
negative,@united missing this wedding because of these delays would not be cool,"Omaha, NE",African American,50,tablet
positive,@VirginAmerica Your planes are really pretty. Just thought u should know that. :),"Tucson, AZ",African American,49,mobile
neutral,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,"Charlotte, NC",African American,18,laptop
neutral,"@AmericanAir my flight got Cancelled Flightled from GRK to DFW, then to LEX for tomorrow and I need it rebooked.","Memphis, TN",Hispanic,28,mobile
negative,@JetBlue busy due to storm but customer service should always be on point. More so now than ever #getittogether,"Houston, TX",Hispanic,21,tablet
negative,@USAirways spent 1.5 hours in line trying to get on a flight home tonight only for it to be Cancelled Flightled an hour Late Flightr. Not even snowing at DCA,"Colorado Springs, CO",African American,25,tablet
negative,@SouthwestAir no one I call knows anything about it so I'm just wondering how to get any? #DestinationDragons,"Baltimore, MD",Hispanic,41,tablet
neutral,@JetBlue Social Media Takes Flight with Fly #LikeAGirl - What brand lesson can we learn?  #SMM #Brand  https://t.co/nTGl2WnQVM,"Houston, TX",Hispanic,43,tablet
negative,"@AmericanAir why do you continually play the ""according to federal regulations"" every 58 seconds. I could see if you had quicker service...","St. Louis, MO",African American,30,tablet
neutral,@JetBlue have a cpap machine for sleep apnea. Is this OK to carry on if I also have a small bag for clothes?,"Toledo, OH",African American,55,tablet
positive,@AmericanAir thank you we got on a different flight to Chicago.,"Rochester, NY",Hispanic,18,laptop
negative,@united  i have a weekend of dealing with your company that would say otherwise.,"Louisville, KY",Caucasian,19,mobile
negative,"@JetBlue I would like to communicate directly with a ""Customer Experience"" executive. Does Joanna Geraghty have an email address?","Chula Vista, CA",African American,30,laptop
neutral,@AmericanAir done. I hope you can offer something.,"Norfolk, VA",African American,47,tablet
negative,@AmericanAir I have been on hold w/customer service line for 68 minutes.  This after I was on phone with an agent for 35 min b/f call droped,"Albuquerque, NM",Hispanic,36,mobile
negative,@united this is it... Last time I fly #UnitedAirlines  you screw up every trip now will be stuck in ord and miss work.,"Washington, D.C.",African American,24,laptop
negative,@JetBlue Cancelled Flighted my flight. Went with another airline 2 leave 2day. They Cancelled Flighted also. Called JetBlue &amp; got same flight but now $250 more👺,"Washington, D.C.",Hispanic,63,mobile
negative,"@JetBlue waiting at HPN on plane more than an hour since landing b/c of no gate, please get us off this plane!","Newark, NJ",Hispanic,36,tablet
positive,@SouthwestAir The pilots&amp; crew on flt 3999 and customer service professionals at baggage claim are OUTSTANDING!! Thank you!!,"Seattle, WA",African American,25,mobile
negative,@AmericanAir 77min still on hold to chg award travel #sorrynotsorry,"Anchorage, AK",Caucasian,48,mobile
negative,@USAirways fuck you.,"El Paso, TX",Caucasian,37,mobile
negative,@united most terrible flight experience happening to everyone right now on Flight:UA1750 6 delays 4 hrs total missed all my flights now thnx,"Baltimore, MD",Caucasian,36,laptop
negative,@USAirways You landed me at #BWI instead of @Reagan_Airport  and have no plans for me to make it home to DC. How do you suggest I get home?,"Oklahoma City, OK",Hispanic,33,tablet
neutral,@JetBlue Airways Lowered to Strong Sell at Vetr Inc. (JBLU) - Mideast Time http://t.co/yMMH9k4CBr,"Las Vegas, NV",Caucasian,23,tablet
positive,@united So far so good. Just stepped down in Denver. Next Stop Portland!,"Dallas, TX",Hispanic,43,tablet
negative,"@USAirways help! Flight Cancelled Flighted, can't call because my phone doesn't work in Europe. Please help? Says I'm booked want to confirm.","Philadelphia, PA",Caucasian,42,laptop
positive,@united thank you for compensating us for our 4 lost bags. We will fly with you again! #UnitedAirlines,"Kansas City, MO",Hispanic,18,laptop
positive,@AmericanAir Thank you for the response. Much appreciated!,"Hialeah, FL",Asian,54,tablet
negative,@united rude rude,"Santa Ana, CA",Hispanic,51,laptop
negative,@americanair thanks for no fresh food on my cross country flight and for making my connection so close No time to eat. TPA-DFW-LAX,"Louisville, KY",Asian,18,mobile
negative,@AmericanAir don't worry you won't steal my money again,"Dallas, TX",African American,56,mobile
negative,@united of course I did. The bag should be here by now :( #frustrated,"Fort Worth, TX",African American,56,mobile
negative,@SouthwestAir My husband is responding to him and he insist to remove him from the seat. BTW signs are in both English and Spanish.,"Newark, NJ",African American,55,mobile
neutral,"@JetBlue #flyingitforward Pereira, Colombia to help the kids from Cartago streets and deliver a lot of clothes that I have picked to donate.","Akron, OH",Hispanic,64,laptop
negative,"@AmericanAir Great, then tell me how you will fix it? @Suntimes @WSJ @latimes @nytimes #media #filmcrew #photography #cameragear","Washington, D.C.",Caucasian,24,mobile
negative,"@SouthwestAir I tried for 5hrs to contact SW! Twitter, fb, phone, email w/ no reply. 24hrs Late Flightr u respond, what could you do at this point?","Saint Paul, MN",African American,64,tablet
neutral,@AmericanAir  and I forgot about that lounge!😂,"Reno, NV",African American,51,laptop
negative,"@AmericanAir Believe me, I understand. Flight #2955. Was originally booked for Sunday. Flight was Cancelled Flighted and rescheduled for today.","San Jose, CA",Asian,50,laptop
negative,@United Airlines Cancelled Flights OC FLL #flight today. $700 to switch. No notice no apology. We are done flying #UnitedAirlines.,"Jacksonville, FL",African American,15,laptop
negative,"@JetBlue not ok to Cancelled Flight flight 1274 tmrw for ""weather"" &amp; to rebook 4 flight the next day when there is flight tmrw night. no compensation?","Durham, NC",Caucasian,51,tablet
neutral,@SouthwestAir Can I book a flight on my own and get reimbursed by you?,"Arlington, TX",African American,15,tablet
negative,@SouthwestAir me again! I was just trying to rebook fare on wanna get away pricing and it disappeared in time I refreshed. Is this normal?,"Oakland, CA",African American,49,laptop
negative,"@SouthwestAir, a complete horror show. Flights bumped three times today, before noon, not how to run an airline. #cantblametheweather.","Fort Worth, TX",Hispanic,36,mobile
negative,@USAirways I was eventually given a flight to Memphis but only after I was taken off my original flight bc I was checked in as my father,"Milwaukee, WI",Asian,27,laptop
negative,@AmericanAir  You can't get us to Cincy but our luggage will still go there tonight? Stranded us in Dallas for 2 days w/o clothes? #Yousuck,"Louisville, KY",Asian,55,mobile
negative,@AmericanAir ok so why is it Late Flight? And for that matter why was my flight 4491 Cancelled Flighted this morning? I've been in YYZ since 5 AM.,"Memphis, TN",Caucasian,18,tablet
positive,@SouthwestAir male flight attendant on flight 3913 from Orlando to Indy was AMAZING! He needs a raise 👍 Had the best experience with him,"Milwaukee, WI",Caucasian,52,tablet
negative,@SouthwestAir  how many others didn't know you are stopping non stop flights to ATL and from to Hartford Ct as of April ?,"Anchorage, AK",Hispanic,56,tablet
negative,@USAirways 25 mins after the scheduled departure and still sitting in terminal. Communication would be lovely... http://t.co/pkAxUNYfn2,"Tulsa, OK",African American,55,mobile
positive,"@SouthwestAir is really stepping up their ""service""🐩 http://t.co/VQTyza6Mzu","Stockton, CA",African American,33,tablet
negative,@united that guy really has no customer service clue.Could have spent effort clearing bins for rollerboards instead of art projects in mine!,"Charlotte, NC",African American,54,tablet
neutral,@united sent DM's,"San Antonio, TX",African American,31,tablet
neutral,@AmericanAir Thank you for the response.  When I book I've tried my AA number and my US Airways number and each time it doesn't pick it up,"Miami, FL",African American,64,laptop
negative,@usairways that wasn't the issue. Someone finally helped on the phone. Now theres a website error that won't let me process my request. SMH,"Philadelphia, PA",Caucasian,49,tablet
neutral,"@AmericanAir but my friend was told she was able to use her credit with the airline towards one of my flights, then was told she couldn't.","Colorado Springs, CO",Asian,40,mobile
positive,@united thanks,"Cincinnati, OH",African American,61,laptop
negative,@united you have to follow me in order for me to DM...come on now,"Long Beach, CA",Caucasian,54,laptop
positive,@JetBlue beautiful ride. Thanks again:),"Chula Vista, CA",Hispanic,18,mobile
neutral,"@AmericanAir. Had my flight changed from US Airways to you, now I can't get two seats together. Can you help?","San Francisco, CA",Hispanic,15,mobile
negative,@AmericanAir. You neglected to mention the $200 fee per ticket.  I had a medical reason and still have had to jump thru hoops.,"Orlando, FL",Hispanic,63,tablet
negative,@united empathizes w/ my disappointment that 1stClass flight w/nonworking entertainmnt is worth $50. #UnFriendlySkies http://t.co/lOecO4gmvd,"Pittsburgh, PA",Caucasian,64,laptop
neutral,@SouthwestAir Thanks! I know the routes you currently have from Newark. I was just wondering if there was any new ones on the horizon,"Los Angeles, CA",African American,25,tablet
negative,@USAirways ~45 minutes means no public transit home and an expensive cab. Promises doesn't make up for it,"Riverside, CA",Hispanic,49,tablet
negative,".@united all other ANA ticket holders get to use the lounge, too. But not us. Because United booked us. #grumpykim","Fort Worth, TX",Asian,49,laptop
negative,@united so we fly into SFO and Honululu gets pushed back 3.5 hours and now it looks like more delays.  I beg of you plz sort this out soon!,"Los Angeles, CA",Caucasian,49,tablet
negative,"@USAirways Thanks, but you can't. My flight was Cancelled Flightled for ""maintenance"" reasons, and the next available flight was too Late Flight for me.","Miami, FL",African American,36,tablet
negative,@united if you lost my belongings then BE HONEST!,"Colorado Springs, CO",African American,30,mobile
negative,@USAirways Oh certainly. And now I have two $275 pending transactions on my bank account. Really happy that I was charged double.,"Dallas, TX",Caucasian,51,tablet
positive,@USAirways I just think it's weird to have mileage as 666,"Phoenix, AZ",Hispanic,64,tablet
negative,@AmericanAir no not yet. Waiting now to be connected to an agent,"San Jose, CA",Caucasian,36,laptop
negative,"@JetBlue if you want to be helpful, find us a seat. Don't quote terms and conditions. #jetbluefail","Riverside, CA",Asian,56,laptop
